repository,repository_split,transfer_origin,task,task_description,task_claim,variant,family,trial_count,exit_success_rate,accepted_count_mean,rejected_count_mean,accepted_rate_mean,regression_gate_failures_mean,rollback_success_rate,improvement_depth_mean,cost_proxy_seconds_mean,changed_files_count_mean
external_dask_issue_transfer_repo,external_unseen,dask/dask,external_dask_array_labels_query,Measure transfer on a fixture extracted from dask/dask issue metadata.,External transfer succeeds when the loop patches a query API for external_array_labels extracted from dask/dask issue metadata.,agent_coding_loop,baseline_agent_coding_loop,2,1.0,1.0,0.0,1.0,0.0,,1.0,2.9455,2.0
external_dask_issue_transfer_repo,external_unseen,dask/dask,external_dask_array_labels_query,Measure transfer on a fixture extracted from dask/dask issue metadata.,External transfer succeeds when the loop patches a query API for external_array_labels extracted from dask/dask issue metadata.,ci_only_validation,baseline_ci_only,2,1.0,0.0,0.0,0.0,0.0,,0.0,1.4525000000000001,0.0
external_dask_issue_transfer_repo,external_unseen,dask/dask,external_dask_array_labels_query,Measure transfer on a fixture extracted from dask/dask issue metadata.,External transfer succeeds when the loop patches a query API for external_array_labels extracted from dask/dask issue metadata.,verified_closed_loop,proposed,2,1.0,3.0,0.0,1.0,0.0,,3.0,8.656500000000001,4.0
external_hypothesis_issue_transfer_repo,external_unseen,hypothesisworks/hypothesis,external_hypothesis_patch_signals_query,Measure transfer on a fixture extracted from hypothesisworks/hypothesis issue metadata.,External transfer succeeds when the loop patches a query API for external_patch_signals extracted from hypothesisworks/hypothesis issue metadata.,agent_coding_loop,baseline_agent_coding_loop,2,1.0,1.0,0.0,1.0,0.0,,1.0,2.914,2.0
external_hypothesis_issue_transfer_repo,external_unseen,hypothesisworks/hypothesis,external_hypothesis_patch_signals_query,Measure transfer on a fixture extracted from hypothesisworks/hypothesis issue metadata.,External transfer succeeds when the loop patches a query API for external_patch_signals extracted from hypothesisworks/hypothesis issue metadata.,ci_only_validation,baseline_ci_only,2,1.0,0.0,0.0,0.0,0.0,,0.0,1.4300000000000002,0.0
external_hypothesis_issue_transfer_repo,external_unseen,hypothesisworks/hypothesis,external_hypothesis_patch_signals_query,Measure transfer on a fixture extracted from hypothesisworks/hypothesis issue metadata.,External transfer succeeds when the loop patches a query API for external_patch_signals extracted from hypothesisworks/hypothesis issue metadata.,verified_closed_loop,proposed,2,1.0,3.0,0.0,1.0,0.0,,3.0,8.8045,4.0
external_pandas_issue_transfer_repo,external_unseen,pandas-dev/pandas,external_pandas_failure_terms_query,Measure transfer on a fixture extracted from pandas-dev/pandas issue metadata.,External transfer succeeds when the loop patches a query API for external_failure_terms extracted from pandas-dev/pandas issue metadata.,agent_coding_loop,baseline_agent_coding_loop,2,1.0,1.0,0.0,1.0,0.0,,1.0,3.016,2.0
external_pandas_issue_transfer_repo,external_unseen,pandas-dev/pandas,external_pandas_failure_terms_query,Measure transfer on a fixture extracted from pandas-dev/pandas issue metadata.,External transfer succeeds when the loop patches a query API for external_failure_terms extracted from pandas-dev/pandas issue metadata.,ci_only_validation,baseline_ci_only,2,1.0,0.0,0.0,0.0,0.0,,0.0,1.375,0.0
external_pandas_issue_transfer_repo,external_unseen,pandas-dev/pandas,external_pandas_failure_terms_query,Measure transfer on a fixture extracted from pandas-dev/pandas issue metadata.,External transfer succeeds when the loop patches a query API for external_failure_terms extracted from pandas-dev/pandas issue metadata.,verified_closed_loop,proposed,2,1.0,3.0,0.0,1.0,0.0,,3.0,9.0235,4.0
external_requests_issue_transfer_repo,external_unseen,psf/requests,external_requests_issue_labels_query,Measure transfer on a fixture extracted from psf/requests issue metadata.,External transfer succeeds when the loop patches a query API for external_issue_labels extracted from psf/requests issue metadata.,agent_coding_loop,baseline_agent_coding_loop,2,1.0,1.0,0.0,1.0,0.0,,1.0,2.9375,2.0
external_requests_issue_transfer_repo,external_unseen,psf/requests,external_requests_issue_labels_query,Measure transfer on a fixture extracted from psf/requests issue metadata.,External transfer succeeds when the loop patches a query API for external_issue_labels extracted from psf/requests issue metadata.,ci_only_validation,baseline_ci_only,2,1.0,0.0,0.0,0.0,0.0,,0.0,1.32,0.0
external_requests_issue_transfer_repo,external_unseen,psf/requests,external_requests_issue_labels_query,Measure transfer on a fixture extracted from psf/requests issue metadata.,External transfer succeeds when the loop patches a query API for external_issue_labels extracted from psf/requests issue metadata.,verified_closed_loop,proposed,2,1.0,3.0,0.0,1.0,0.0,,3.0,8.7425,4.0
